lat,lng,name,source,osm_type,osm_id
52.277176,21.053379,,osm,node,1495256516
51.656737,19.357251,"hala PTK Pabianice",osm,node,1631444101
49.738879,18.733802,"Boisko do koszykówki w Goleszowie",osm,node,2492003115
49.972618,18.950784,"Hala sportowa",osm,node,2564898764
52.753861,18.251141,"Hala sportowa",osm,node,2793700576
54.607313,18.8023,,osm,node,2892101127
50.764609,23.372825,,osm,node,3074966163
51.366572,17.464982,,osm,node,3431615783
51.956042,15.524082,"Hala Sportowa CRS",osm,node,4356481857
51.431554,21.136508,,osm,node,4492282184
51.734002,19.455363,,osm,node,5001916539
50.170694,19.453595,,osm,node,5041258143
50.0644,22.230888,"Sokół Łańcut",osm,node,5165792000
53.146481,17.958293,,osm,node,6091035369
51.926465,15.526404,,osm,node,6424692232
49.810569,19.073441,,osm,node,6503319126
52.266979,20.996919,,osm,node,6850250913
50.114289,19.380403,,osm,node,7283525082
51.951885,16.198727,,osm,node,7617789175
51.122186,16.970295,,osm,node,7886976388
52.45556,16.910442,,osm,node,8196855940
52.111573,20.639554,"Grodziski Klub Koszykarski",osm,node,8706953057
50.825943,19.109179,,osm,node,8770416625
50.217627,18.612894,,osm,node,8807143123
50.538855,22.710438,,osm,node,8831623929
50.058791,20.053038,,osm,node,8915011058
50.665513,20.558749,,osm,node,9001740386
50.71718,20.671419,,osm,node,9019773347
50.552167,22.72009,,osm,node,9141221697
50.045758,19.913394,,osm,node,9216442140
52.280778,20.974235,,osm,node,9243253100
52.230748,20.969569,"Polski Związek Koszykówki",osm,node,9254648849
50.242533,23.14446,,osm,node,9377220498
50.242689,23.144164,,osm,node,9377220499
50.049477,21.978106,,osm,node,9404699076
52.416483,16.931596,,osm,node,9405396858
54.377335,18.606605,"Sklep Koszykarza",osm,node,9415606981
50.062332,21.982733,,osm,node,9440746757
51.521825,19.997231,,osm,node,9458238206
53.165649,16.748185,,osm,node,9488028177
50.13592,19.425039,,osm,node,9516066765
51.517538,20.228777,,osm,node,9531014717
50.134142,19.38671,,osm,node,9550563698
51.093337,16.985037,,osm,node,9556287417
50.683701,21.501258,,osm,node,9592139173
52.076512,16.662996,,osm,node,9725357855
50.027781,22.008938,,osm,node,9883179794
50.101636,19.398619,,osm,node,9995092903
50.680049,16.61897,,osm,node,10015554396
54.18791,19.411349,,osm,node,10019479725
50.029621,19.923855,,osm,node,10086575525
53.2164,15.766538,,osm,node,10086628383
54.354859,18.648496,,osm,node,10112395223
49.706517,21.749757,,osm,node,10572279203
54.329563,18.549654,,osm,node,10674884076
52.45432,16.850524,,osm,node,10712640409
51.127954,17.031859,,osm,node,10781617226
52.386716,16.982052,,osm,node,10833473558
50.301426,18.844159,,osm,node,10859862333
49.692082,21.775988,"Krośnieński Klub Koszykówki",osm,node,10892646304
54.335311,18.607546,,osm,node,10904087187
54.32602,18.636811,,osm,node,10927544815
54.325697,18.636748,,osm,node,10927544816
51.141774,17.061463,,osm,node,10941963520
50.306123,18.855904,,osm,node,10946716229
50.955669,17.276399,,osm,node,11030602490
51.601131,18.737296,,osm,node,11063083971
50.667496,16.376239,,osm,node,11158911183
51.225377,18.589771,,osm,node,11169780721
50.471923,17.959379,,osm,node,11262392628
52.939371,15.354105,,osm,node,11380253695
54.351789,18.600397,,osm,node,11388686968
54.144471,22.42876,"Kosz do gry w koszykówkę",osm,node,11438404769
54.380312,18.618495,,osm,node,11454000409
54.326147,18.60269,,osm,node,11464462663
54.469748,18.525036,,osm,node,11577560910
54.558755,18.511464,,osm,node,11625055390
50.076619,19.975815,,osm,node,11685149787
54.375814,18.575374,,osm,node,11717236594
50.579009,16.515444,,osm,node,11805053983
54.158693,15.736683,,osm,node,11827095236
50.079448,20.043165,,osm,node,11830969904
54.253081,17.582769,,osm,node,11845458917
51.127457,15.290426,,osm,node,11860484227
51.799254,19.45901,,osm,node,11879353623
53.13681,23.157221,,osm,node,12050979608
50.013701,20.002904,,osm,node,12055451894
54.381483,17.152413,,osm,node,12078787828
51.204207,16.222417,,osm,node,12120586027
54.38341,17.07259,,osm,node,12147280985
51.591422,18.724386,,osm,node,12150115719
51.27185,22.55338,,osm,node,12159895537
53.923024,19.350436,,osm,node,12175052179
50.657766,18.926943,,osm,node,12179122789
54.554035,18.517217,,osm,node,12191835741
54.092555,15.260081,,osm,node,12207593052
52.616552,20.925484,,osm,node,12250381730
53.925935,19.349014,,osm,node,12323303698
52.424372,16.889224,,osm,node,12396805607
53.001988,16.339719,,osm,node,12406633534
52.740792,15.215733,,osm,node,12444590813
53.828079,18.206087,,osm,node,12478359692
50.464161,20.714976,,osm,node,12498407497
54.056905,15.255646,,osm,node,12547803228
54.154538,18.669667,,osm,node,12571040743
54.364839,18.615958,,osm,node,12624297516
54.346378,18.819948,,osm,node,12682615469
52.053034,20.482756,,osm,node,12801078054
50.844558,17.573378,,osm,node,12804888435
54.07246,18.314596,,osm,node,12806174003
52.506717,16.73838,,osm,node,12809666307
